# 大学英语四级词库 · 来源 KyleBing/english-vocabulary（MIT）
# 格式：单词,释义
announcer,n. 播音员
annoy,v. 使反感，厌烦
annual,adj. 每年的
annually,adv. 每年，一年一次
anonymous,adj. 匿名的； 无名的； 无特色的
another,det. 再一个的；别的
answer,v. 回答；响应
ant,n. 蚂蚁
anticipate,v. 预感
antique,n. 古玩，古董
anxiety,n. 焦虑，忧虑；渴望
anxious,adj. 忧虑的；渴望的
any,adj. 什么，一些；任何的
anybody,pron. 任何人
anyhow,adv. 无论如何
anyone,pron. 任何人
anything,pron. 任何事物；一切
anyway,adv. 无论如何
anywhere,adv. 在什么地方
apart,adv. 相隔；分开；除去
apartment,n. 公寓
apologize,v. 道歉，谢罪，认错
apology,n. 道歉，认错，谢罪
apparatus,n. 器械，仪器；器官
apparent,adj. 明显的；表面上的
appeal,n. 呼吁 v. 吸引；呼吁；恳请，恳求
appealing,adj. 吸引人的
appear,v. 似乎；出现；来到
appearance,n. 外表, 外观；出现
appetite,n. 欲望, 胃口
applause,n. 鼓掌， 掌声
apple,n. 苹果
appliance,n. 用具，器具，器械
applicable,adj. 能应用的；适当的
applicant,n. 申请人
application,n. 申请；应用
apply,v. 申请；应用
appoint,v. 任命，委派；约定，确定，指定
appointment,n. 约会
appreciate,v. 感激；欣赏
appreciation,n. 感激
approach,v. 靠近 n. 方法
appropriate,adj. 适当的，恰当的
approval,n. 批准，认可；赞成，同意
approve,v. 赞成，同意
approximate,adj. 近似的 v. 近似
approximately,adv. 大约
april,n. 四月
arabian,adj. 阿拉伯的
arbitrary,adj. 随心所欲的；专断的
architect,n. 建筑师
architecture,n. 建筑式样；建筑学
archive,n. 档案馆，档案室；档案
area,n. 地区；面积；领域
argue,v. 争论；争辩，辩论
argument,n. 争论，辩论；理由
arise,v. 出现；由…引起
arithmetic,n. 算术；四则运算
arm,n. 臂；臂状物；武器
army,n. 军队；陆军
around,prep. 在…周围
arouse,v. 引起，唤起；唤醒
arrange,v. 安排，筹划
arrangement,n. 安排；整理，排列
arrest,v. 逮捕
arrival,n. 到达；到来；到达者
arrive,v. 到达；来临；达到
arrow,n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
art,n. 艺术，美术；技术
article,n. 文章；物品；条款
artificial,adj. 人工的；娇揉造作的
artist,n. 艺术家，美术家
artistic,adj. 艺术的；艺术家的
as,conj. 当…的时候
ash,n. 灰，灰末；骨灰
ashamed,adj. 羞耻的；内疚的；惭愧的
asia,n. 亚洲
asian,adj. 亚洲的 n. 亚洲人
aside,adv. 在旁边，到旁边
ask,v. 问；要求；邀请
asleep,adj. 睡着的，睡熟的
aspect,n. 方面；样子，外表
assemble,v. 集合；组装；集合
assembly,n. 装配
assess,v. 评价
asset,n. 有价值的人(或物)资产
assign,v. 布置；分配
assignment,n. 作业
assist,v. 援助，帮助
assistance,n. 协助， 援助
assistant,n. 助手，助理；助教
associate,v. 把……联系起来；交往；
association,n. 协会，团体；联合
assume,v. 假定，认为
assumption,n. 假定，假设
assure,v. 使确信；向…保证
astonish,v. 使惊讶，使大为吃惊
astronaut,n. 宇宙航行员，宇航员
astrophysics,n. 天体物理学
at,prep. 在…里；在…时
athlete,n. 运动员；田径运动员
atlantic,adj. 大西洋的 n. 大西洋
atmosphere,n. 气氛；大气；空气
atmospheric,adj. 大气的；大气层的
atom,n. 原子；微粒；微量
atomic,adj. 原子的；原子能的
attach,v. 缚，系，贴；附加
attack,v. 攻击，进攻 n. 攻击，进攻
attain,v. 获得；达到
attempt,n. 尝试，试图 v. 尝试，试图
attend,v. 出席；照顾，护理
attendance,n. 出席人数
attention,n. 注意，留心；注意力
attentive,adj. 注意的；有礼貌的
attitude,n. 态度，看法；姿势
attorney,n. 律师， 代理人
attract,v. 吸引；引起……的兴趣；诱惑
attraction,n. 吸引；吸引力；引力
attractive,adj. 有吸引力的
attribute,v. 归因于
audience,n. 听众，观众，读者
audio,adj. 听觉的， 声音的
august,n. 八月
aunt,n. 伯母，婶母，姑母
aural,adj. 耳的，听觉的
australia,n. 澳大利亚
australian,adj. 澳大利亚的
author,n. 作者，作家
authoritative,adj. 权威的
authority,n. 当局，官方；权力
auto,n. （口语）汽车
automatic,adj. 自动的
automation,n. 自动，自动化
automobile,n. 汽车，机动车
autumn,n. 秋，秋季
auxiliary,adj. 辅助的
avail,v. 有益, 有帮助
available,adj. 可利用的，现有的；可获得的
avenue,n. 大街；林荫道，道路
average,adj. 平常的
aviate,v. 驾驶飞机
aviation,n. 航空
avoid,v. 避免
await,v. 等候，期待
